Year          Team                 SOS         Record
2013   Fresno St.      19   9-19
2014   Fresno St.      86   15-16
2015   Fresno St.     126   13-17
2016   Fresno St.     134   23-9
2017   Fresno St.     105   18-12
2010   Furman         322   13-17
2011   Furman         240   20-10
2012   Furman         278   13-16
2013   Furman         327   5-24
2014   Furman         342   7-20
2015   Furman         185   9-22
2016   Furman         183   16-15
2017   Furman         187   19-11
2010   Ga. Southern   165   9-23
2011   Ga. Southern   288   2-27
2012   Ga. Southern   249   13-15
2013   Ga. Southern   285   12-19
2014   Ga. Southern   340   12-19
2015   Ga. Southern   263   19-9
2016   Ga. Southern   248   12-17
2017   Ga. Southern   152   16-14
2010   Gardner-Webb   262   8-21
2011   Gardner-Webb   225   9-21
2012   Gardner-Webb   311   10-20
2013   Gardner-Webb   328   18-12
2014   Gardner-Webb   328   15-15
2015   Gardner-Webb        148   16-14
2016   Gardner-Webb        258   14-16
2017   Gardner-Webb        253   16-14
2010   George Mason        180   17-14
2011   George Mason         88   26-6
2012   George Mason        186   24-9
2013   George Mason        172   18-14
2014   George Mason         67   11-20
2015   George Mason         60   8-22
2016   George Mason         88   11-21
2017   George Mason        131   19-13
2010   George Washington   170   16-14
2011   George Washington   164   17-14
2012   George Washington    52   10-21
2013   George Washington    90   13-17
2014   George Washington    78   24-8
2015   George Washington   167   21-12
2016   George Washington   119   23-10
2017   George Washington   115   19-14
2010   Georgetown            1   23-10
2011   Georgetown            1   21-10
2012   Georgetown           13   22-8
2013   Georgetown           18   25-6
2014   Georgetown           19   17-14
2015   Georgetown           12   21-10
2016   Georgetown           20   15-18
2017   Georgetown           27   14-18
2010   Georgia              17   14-17
2011   Georgia              44   21-11
2012   Georgia              14   15-17
2013   Georgia              70   15-17
2014   Georgia              57   19-13
2015   Georgia              39   21-11
2016   Georgia              19   19-13
2017   Georgia              12   18-14
2010   Georgia St.         187   12-20
2011   Georgia St.         158   12-19
2012   Georgia St.         260   21-11
2013   Georgia St.         231   14-16
2014   Georgia St.         227   23-8
2015   Georgia St.         136   23-9
2016   Georgia St.         164   14-14
2017   Georgia St.    160   18-12
2010   Georgia Tech     9   22-12
2011   Georgia Tech    80   13-18
2012   Georgia Tech    96   11-20
2013   Georgia Tech   128   16-15
2014   Georgia Tech   140   16-17
2015   Georgia Tech    32   12-19
2016   Georgia Tech    22   19-14
2017   Georgia Tech    71   16-15
2010   Gonzaga        117   26-6
2011   Gonzaga        100   23-9
2012   Gonzaga         70   25-6
2013   Gonzaga         75   30-2
2014   Gonzaga         84   27-6
2015   Gonzaga         68   31-2
2016   Gonzaga        107   25-7
2017   Gonzaga         80   32-1
2010   Grambling      340   7-21
2011   Grambling      340   12-21
2012   Grambling      341   4-24
2013   Grambling      342   0-28
2014   Grambling      338   4-23
2015   Grambling      349   0-27
2016   Grambling      325   4-24
2017   Grambling      346   13-17
2014   Grand Canyon   233   12-14
2015   Grand Canyon   330   15-14
2016   Grand Canyon   249   23-6
2017   Grand Canyon   280   20-9
2010   Green Bay      160   21-12
2011   Green Bay      121   13-18
2012   Green Bay      117   13-15
2013   Green Bay      166   17-15
2014   Green Bay      139   21-6
2015   Green Bay      147   22-8
2016   Green Bay      218   21-12
2017   Green Bay      230   16-13
2010   Hampton        337   14-18
2011   Hampton        338   23-8
2012   Hampton        324   12-21
2013   Hampton        329   14-17
2014   Hampton        321   18-12
2015   Hampton      326   16-17
2016   Hampton      320   20-10
2017   Hampton      323   12-16
2010   Hartford     261   8-22
2011   Hartford     244   11-20
2012   Hartford     292   9-22
2013   Hartford     281   17-13
2014   Hartford     313   17-16
2015   Hartford     276   13-16
2016   Hartford     225   9-23
2017   Hartford     313   9-23
2010   Harvard      279   21-7
2011   Harvard      142   21-6
2012   Harvard      209   25-4
2013   Harvard      187   18-9
2014   Harvard      229   25-4
2015   Harvard      134   20-7
2016   Harvard      151   12-16
2017   Harvard      227   16-10
2010   Hawaii       103   10-20
2011   Hawaii       210   17-12
2012   Hawaii       175   14-16
2013   Hawaii       234   16-14
2014   Hawaii       215   18-11
2015   Hawaii       163   20-13
2016   Hawaii       253   25-5
2017   Hawaii       312   13-16
2010   High Point   331   15-15
2011   High Point   211   10-19
2012   High Point   235   11-18
2013   High Point   332   15-13
2014   High Point   183   14-14
2015   High Point   190   19-9
2016   High Point   306   18-10
2017   High Point   254   12-16
2010   Hofstra      175   19-14
2011   Hofstra      140   20-11
2012   Hofstra      126   10-22
2013   Hofstra      215   6-25
2014   Hofstra      178   10-23
2015   Hofstra      288   20-13
2016   Hofstra      106   23-9
2017   Hofstra           165   14-17
2010   Holy Cross        198   9-22
2011   Holy Cross        219   8-21
2012   Holy Cross        213   15-14
2013   Holy Cross        274   12-18
2014   Holy Cross        176   19-13
2015   Holy Cross        153   13-16
2016   Holy Cross        295   14-19
2017   Holy Cross        235   15-17
2010   Houston           110   19-15
2011   Houston           169   10-18
2012   Houston           214   14-15
2013   Houston           322   18-12
2014   Houston           130   17-16
2015   Houston           175   13-19
2016   Houston           148   22-9
2017   Houston            73   21-10
2010   Houston Baptist   343   12-21
2011   Houston Baptist   341   5-24
2012   Houston Baptist   286   7-20
2013   Houston Baptist   344   11-17
2014   Houston Baptist   309   4-23
2015   Houston Baptist   265   8-16
2016   Houston Baptist   227   13-16
2017   Houston Baptist   194   13-13
2010   Howard            310   7-25
